A,HOMICIDIOS,AÑO_ANTERIOR,TASA_HOMICIDIOS,TASA_AÑO_ANTERIOR,VARIACION
2016,48,0,1.5381598224963564,0.0,inf
2017,49,48,1.570204818798364,1.5381598224963564,2.0833333333333397
2018,65,49,2.0829247596304827,1.570204818798364,32.6530612244898
2019,35,65,1.12157487057026,2.0829247596304827,-46.15384615384615
2020,34,35,1.0895298742682524,1.12157487057026,-2.8571428571428656
2021,33,34,1.0574848779662451,1.0895298742682524,-2.941176470588224
