A,HOMICIDIOS,AÑO_ANTERIOR,TASA_HOMICIDIOS,TASA_AÑO_ANTERIOR,VARIACION
2016,63,0,2.0188347670264677,0.0,inf
2017,52,63,1.6663398077043863,2.0188347670264677,-17.460317460317448
2018,57,52,1.8265647892144234,1.6663398077043863,9.615384615384617
2019,49,57,1.570204818798364,1.8265647892144234,-14.03508771929825
2020,28,49,0.897259896456208,1.570204818798364,-42.857142857142854
2021,45,28,1.4420248335903343,0.897259896456208,60.71428571428572
